Deinflect Rules 20081220-0509 | by Jonathan Zarate | http://www.polarcloud.com
polite past negative
polite negative
polite volitional
-chau
-sugiru
-nasai
polite past
-tara
-tari
causative
potential or passive
-sou
-tai
polite
past
negative
passive
-ba
volitional
potential
passive or causative
-te
-zu
imperative
masu stem
adv
noun
imperative negative
progressive
preparatory
resultant
-te shimau
try
go
come
please do
no good
it's OK to
it was OK to
I don't mind if
I want you to
sorry for
thanks for
favor to me
favor to other
receive favor
ちましょう	つ	640	2
ってあげる	う	513	44
ってあげる	く	513	44
ってあげる	つ	513	44
ってあげる	る	513	44
ってくれる	う	513	43
ってくれる	く	513	43
ってくれる	つ	513	43
ってくれる	る	513	43
ってしまう	う	514	31
ってしまう	く	514	31
ってしまう	つ	514	31
ってしまう	る	514	31
ってほしい	う	516	40
ってほしい	く	516	40
ってほしい	つ	516	40
ってほしい	る	516	40
ってもいい	う	640	37
ってもいい	く	640	37
ってもいい	つ	640	37
ってもいい	る	640	37
ってもらう	う	514	45
ってもらう	く	514	45
ってもらう	つ	514	45
ってもらう	る	514	45
っても良い	う	640	37
っても良い	く	640	37
っても良い	つ	640	37
っても良い	る	640	37
って欲しい	う	516	40
って欲しい	く	516	40
って欲しい	つ	516	40
って欲しい	る	516	40
ていただく	る	2306	45
てください	る	2432	35
にましょう	ぬ	640	2
びましょう	ぶ	640	2
みましょう	む	640	2
りましょう	る	640	2
んであげる	ぬ	513	44
んであげる	ぶ	513	44
んであげる	む	513	44
んでくれる	ぬ	513	43
んでくれる	ぶ	513	43
んでくれる	む	513	43
んでしまう	ぬ	514	31
んでしまう	ぶ	514	31
んでしまう	む	514	31
んでほしい	ぬ	516	40
んでほしい	ぶ	516	40
んでほしい	む	516	40
んでもいい	ぬ	640	37
んでもいい	ぶ	640	37
んでもいい	む	640	37
んでもらう	ぬ	514	45
んでもらう	ぶ	514	45
んでもらう	む	514	45
んでも良い	ぬ	640	37
んでも良い	ぶ	640	37
んでも良い	む	640	37
んで欲しい	ぬ	516	40
んで欲しい	ぶ	516	40
んで欲しい	む	516	40
いじゃう	ぐ	514	3
いすぎる	う	513	4
いちゃう	く	514	3
いてある	く	513	30
いていく	く	514	33
いている	く	513	28
いておく	く	514	29
いておる	く	514	28
いてくる	く	520	34
いてみる	く	513	32
いて来る	く	520	34
いて行く	く	514	33
いである	ぐ	513	30
いでいく	ぐ	514	33
いでいる	ぐ	513	28
いでおく	ぐ	514	29
いでおる	ぐ	514	28
いでくる	ぐ	520	34
いでみる	ぐ	513	32
いで来る	ぐ	520	34
いで行く	ぐ	514	33
いなさい	う	640	5
いました	う	640	6
いません	う	640	1
かったら	い	1152	7
かったり	い	1152	8
きすぎる	く	513	4
きすぎる	くる	2049	4
きちゃう	くる	2050	3
きてある	くる	2049	30
きていく	くる	2050	33
きている	くる	2049	28
きておく	くる	2050	29
きておる	くる	2050	28
きてくる	くる	2056	34
きてみる	くる	2049	32
きて来る	くる	2056	34
きて行く	くる	2050	33
きなさい	く	640	5
きなさい	くる	2176	5
きました	く	640	6
きました	くる	2176	6
きません	く	640	1
きません	くる	2176	1
ぎすぎる	ぐ	513	4
ぎなさい	ぐ	640	5
ぎました	ぐ	640	6
ぎません	ぐ	640	1
くてある	い	1025	30
くていく	い	1026	33
くている	い	1025	28
くておく	い	1026	29
くておる	い	1026	28
くてくる	い	1032	34
くてみる	い	1025	32
くて来る	い	1032	34
くて行く	い	1026	33
こさせる	くる	2049	9
こられる	くる	2049	10
しすぎる	す	513	4
しすぎる	する	4097	4
しちゃう	す	514	3
しちゃう	する	4098	3
してある	す	513	30
してある	する	4097	30
していく	す	514	33
していく	する	4098	33
している	す	513	28
している	する	4097	28
しておく	す	514	29
しておく	する	4098	29
しておる	す	514	28
しておる	する	4098	28
してくる	す	520	34
してくる	する	4104	34
してみる	す	513	32
してみる	する	4097	32
して来る	す	520	34
